date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:07	334/334	---M-Z	200	added ('OK')	text/plain	date:Mon,%2028%20Nov%202022%2016:36:36%20GMT	https://www.pavlovaspasalon.com/robots.txt		(from )
19:22:08	280218/280218	---M-Z	200	added ('OK')	text/html	etag:W/%220dffa837c2c09efb7e85971a580b4055%22	https://www.pavlovaspasalon.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day25/Web126/Site126/www.pavlovaspasalon.com/index.html	(from )
19:22:09	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Mon,%2005%20Dec%202022%2013:53:23%20GMT	http://static1.squarespace.com/static/5f726c38a4d2f0161b44ce00/t/5f7775b61e4f8b68e79bedbd/1601664441673/Screen+Shot+2020-10-02+at+2.47.05+PM.png?format=1500w	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day25/Web126/Site126/static1.squarespace.com/static/5f726c38a4d2f0161b44ce00/t/5f7775b61e4f8b68e79bedbd/1601664441673/Screen+Shot+2020-10-02+at+2.47.05+PM.026f7.delayed	(from https://www.pavlovaspasalon.com/)
19:22:11	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day25/Web126/Site126/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://www.pavlovaspasalon.com/)
19:22:11	17374/17374	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2005%20Dec%202022%2013:53:24%20GMT	http://use.typekit.net/ik/PgWPU7Ibd0-REq2M1bk9eTnS6JsHGEbM0Alssr7xxEGfeT9IfFHN4UJLFRbh52jhWDmcFDJhjDwtjQsqwcj3wQjUjRbXjh93wg7TMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdP37O1iTSas8Sc8yOWsuS1Budh8DZPXawc3DO1FUiABkZWF3jAF8OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUCdhFydeyzSabCSeBhdeNhjWF3jWFydeN0OcFzdPUDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYiTSas8Sc8yOWsuS1Budh8DZPXawc3DO1FUiABkZWF3jAF8OcFzdPUaiaS0jAFu-WsoShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0dcmXOYiaikoySkolZPUaiaS0SeBhdeNhjWF3jWFydeN0OcFzdPUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUaiaS0ih8Diemk-AIliYmkSWmz-WF8OQSkd2w0SaBujW48Sagyjh90jhNlJ6lzS1gGZWmDOWgkdkGHf50rMsMMeMb6MKGHfFAFMyMMeM96MKGHf5crMsMMeMS6MKGHf57rMsMMeMt6MTMgK7_wxM9.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day25/Web126/Site126/use.typekit.net/ik/PgWPU7Ibd0-REq2M1bk9eTnS6JsHGEbM0Alssr7xxEGfeT9IfFHN4UJLFRbh52jhWDmcFDJhjDwtjQsqwcj3wQjUjRbXjh93wg7TMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamT	(from https://www.pavlovaspasalon.com/)
19:22:14	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day25/Web126/Site126/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://www.pavlovaspasalon.com/)
19:22:14	45349/45349	---M-Z	200	added ('OK')	text/javascript	etag:%227e9f985449e0e68d5b4e3718ed74ace6%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-20cedcfc598ca1dec0f52-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day25/Web126/Site126/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-20cedcfc598ca1dec0f52-min.en-US.js	(from https://www.pavlovaspasalon.com/)
19:22:16	49978/49978	---M--	200	added ('OK')	image/png	etag:CKjP+//IluwCEAE=	https://images.squarespace-cdn.com/content/5f726c38a4d2f0161b44ce00/1601664438276-D30DRKTFION79F7BTRM3/Screen+Shot+2020-10-02+at+2.47.05+PM.png?format=1500w&content-type=image%2Fpng	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day25/Web126/Site126/images.squarespace-cdn.com/content/5f726c38a4d2f0161b44ce00/1601664438276-D30DRKTFION79F7BTRM3/Screen+Shot+2020-10-02+at+2.47.05+PM2acd.png	(from https://www.pavlovaspasalon.com/)
19:22:18	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%22b00e491df067bd1673eaa9e0737112b4%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-33f25cea66c84971c39d6-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day25/Web126/Site126/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-33f25cea66c84971c39d6-min.en-US.js	(from https://www.pavlovaspasalon.com/)
19:22:27	245973/245973	---M-Z	200	added ('OK')	text/javascript	etag:%22f405b44c91c963a0a04d21db055c0447%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-ded59447778e1491d87fa-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day25/Web126/Site126/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-ded59447778e1491d87fa-min.en-US.js	(from https://www.pavlovaspasalon.com/)
19:22:29	589307/589307	---M-Z	200	added ('OK')	text/javascript	etag:%2277a546c78e5335ac223ce347591cf662%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day25/Web126/Site126/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	(from https://www.pavlovaspasalon.com/)
19:22:30	40754/40754	---M-Z	200	added ('OK')	text/javascript	etag:%22a3a762047076264222a8664d9509b6ff%22	http://assets.squarespace.com/universal/scripts-compressed/performance-8a62d2805270e36d43ce5-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day25/Web126/Site126/assets.squarespace.com/universal/scripts-compressed/performance-8a62d2805270e36d43ce5-min.en-US.js	(from https://www.pavlovaspasalon.com/)
